"","Pick","ADP.WAV.S","ADP_WAV","griddyav","wav2022","wav2021","wav2020","wav2019","wav2018","drafted_2022","drafted_2021","drafted_2020","drafted_2019"
"77",77,2.96,29.6,88.8,29.6,23.68,17.76,11.84,5.92,59.2,35.52,17.76,5.92
"78",78,2.93,29.3,87.9,29.3,23.44,17.58,11.72,5.86,58.6,35.16,17.58,5.86
"79",79,2.92,29.2,87.6,29.2,23.36,17.52,11.68,5.84,58.4,35.04,17.52,5.84
"80",80,2.89,28.9,86.7,28.9,23.12,17.34,11.56,5.78,57.8,34.68,17.34,5.78
"81",81,2.83,28.3,84.9,28.3,22.64,16.98,11.32,5.66,56.6,33.96,16.98,5.66
"82",82,2.74,27.4,82.2,27.4,21.92,16.44,10.96,5.48,54.8,32.88,16.44,5.48
"83",83,2.71,27.1,81.3,27.1,21.68,16.26,10.84,5.42,54.2,32.52,16.26,5.42
"84",84,2.57,25.7,77.1,25.7,20.56,15.42,10.28,5.14,51.4,30.84,15.42,5.14
"85",85,2.54,25.4,76.2,25.4,20.32,15.24,10.16,5.08,50.8,30.48,15.24,5.08
"86",86,2.54,25.4,76.2,25.4,20.32,15.24,10.16,5.08,50.8,30.48,15.24,5.08
"87",87,2.5,25,75,25,20,15,10,5,50,30,15,5
"88",88,2.5,25,75,25,20,15,10,5,50,30,15,5
"89",89,2.46,24.6,73.8,24.6,19.68,14.76,9.84,4.92,49.2,29.52,14.76,4.92
"90",90,2.39,23.9,71.7,23.9,19.12,14.34,9.56,4.78,47.8,28.68,14.34,4.78
"91",91,2.32,23.2,69.6,23.2,18.56,13.92,9.28,4.64,46.4,27.84,13.92,4.64
"92",92,2.31,23.1,69.3,23.1,18.48,13.86,9.24,4.62,46.2,27.72,13.86,4.62
"93",93,2.27,22.7,68.1,22.7,18.16,13.62,9.08,4.54,45.4,27.24,13.62,4.54
"94",94,2.25,22.5,67.5,22.5,18,13.5,9,4.5,45,27,13.5,4.5
"95",95,2.18,21.8,65.4,21.8,17.44,13.08,8.72,4.36,43.6,26.16,13.08,4.36
"96",96,2.17,21.7,65.1,21.7,17.36,13.02,8.68,4.34,43.4,26.04,13.02,4.34
